Name,Affiliation
David Bailey,Lawrence Berkeley Laboratory
Ludovic Courtès,INRIA
Ewa Deelman,USC Information Sciences Institute
Fraida Fund,NYU Tandon School of Engineering
Daniel S. Katz,University of Illinois at Urbana-Champaign
Bertram Ludäscher,University of Illinois at Urbana-Champaign
Reed Milevicz,Sandia National Laboratories
Manish Parashar,"Scientific Computing and Imaging (SCI) Institute, University of Utah"
Thomas Pasquier,University of Bristol
Limor Peer,Yale University
Solal Pirelli,École Polytechnique Fédérale de Lausanne
Kai Polsterer,HITS gGmbH
Vicky Rampin,New York University
Hakizumwami Birali Runesha,University of Chicago
Sameer Shende,University of Oregon
Douglas Thain,University of Notre Dame
Divesh Tewari,Northeastern University
Rafael Tolosa-Calasanz,Universidad de Zaragoza
Anjo Vahldiek-Oberwagner,Intel Labs
Stefano Zacchiroli,"Télécom Paris,Polytechnic Institute of Paris"
Theo Zimmerman,Télécom Paris