Name, Affiliation
Ewa Deelman,Information Sciences Institute
Fraida Fund,New York University
Daniel Katz,University of Illinois at Urbana-Champaign
Bertram Ludaescher,University of Illinois at Urbana-Champaign
Reed Milevicz,Sandia National Laboratories
Solal Pirelli,EPFL
Kai Polsterer,Heidelberg Institute for Theoretical Studies (HITS
Vicky Rampin,New York University
Birali Runesha,University of Chicago
Divesh Tewari,Northeastern University
Rafael Tolosa-Calasanz,Universidad de Zaragoza
Stefano Zacchiroli,Télécom Paris
Theo Zimmerman,Télécom Paris